skill_name,processing_ids
"transcriptomics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"integration of multi-omics datasets","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"biomarker discovery","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,545862a0-d9bd-4007-aac8-3cf618c7815b,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"mechanistic insights","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,545862a0-d9bd-4007-aac8-3cf618c7815b,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,2d365c52-d15d-4c9c-bc75-156a960f8bf2,eb83e95f-5fdc-4c86-adc0-cb2d968efe5e"
"r","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,545862a0-d9bd-4007-aac8-3cf618c7815b"
"python","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,545862a0-d9bd-4007-aac8-3cf618c7815b"
"data visualisation","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,9982770f-129b-4022-909b-74fa857258a7,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"collaboration","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478,545862a0-d9bd-4007-aac8-3cf618c7815b,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"documentation","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,545862a0-d9bd-4007-aac8-3cf618c7815b,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,545862a0-d9bd-4007-aac8-3cf618c7815b"
"presentation skills","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,545862a0-d9bd-4007-aac8-3cf618c7815b,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850"
"data science","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,3e93676a-fa95-46e2-8aab-962d42c64cdb,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4"
"biological systems","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,a601f184-fbf5-47c9-a93b-0e7d92573478"
"organoid models","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"high-throughput sequencing data analysis","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"collaboration with wet-lab scientists","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,545862a0-d9bd-4007-aac8-3cf618c7815b,545862a0-d9bd-4007-aac8-3cf618c7815b,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"chemistry","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf"
"engineering","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,2d365c52-d15d-4c9c-bc75-156a960f8bf2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f"
"physiology","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,2543224d-b378-43c9-9f6f-ab8850b6c051"
"risk assessment","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,2d365c52-d15d-4c9c-bc75-156a960f8bf2"
"multi-disciplinary expertise","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,2543224d-b378-43c9-9f6f-ab8850b6c051,3e93676a-fa95-46e2-8aab-962d42c64cdb,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"cellular approaches","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,2543224d-b378-43c9-9f6f-ab8850b6c051,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4"
"mechanisms of toxicity","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,2543224d-b378-43c9-9f6f-ab8850b6c051"
"species differences","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,545862a0-d9bd-4007-aac8-3cf618c7815b,545862a0-d9bd-4007-aac8-3cf618c7815b"
"translational safety biomarkers","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"project decision-making","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,545862a0-d9bd-4007-aac8-3cf618c7815b,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f"
"internal collaboration","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,545862a0-d9bd-4007-aac8-3cf618c7815b"
"team meetings","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,a601f184-fbf5-47c9-a93b-0e7d92573478"
"project management","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,53da82e3-bf1c-4e3f-8c77-b07f78376b32,a601f184-fbf5-47c9-a93b-0e7d92573478"
"non-clinical safety assessment","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,2d365c52-d15d-4c9c-bc75-156a960f8bf2,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,545862a0-d9bd-4007-aac8-3cf618c7815b"
"drug development","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,545862a0-d9bd-4007-aac8-3cf618c7815b,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"life sciences","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"analytic skills","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,281662c0-0d72-437b-98f3-c904a3241259,00fc95ad-51ba-4199-a67a-92978a72580e,0a8f571b-c686-4965-a573-cabf249435e6"
"dashboard development","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,3e93676a-fa95-46e2-8aab-962d42c64cdb,a601f184-fbf5-47c9-a93b-0e7d92573478,3e93676a-fa95-46e2-8aab-962d42c64cdb,9982770f-129b-4022-909b-74fa857258a7"
"interactivity design","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,9982770f-129b-4022-909b-74fa857258a7,545862a0-d9bd-4007-aac8-3cf618c7815b,9982770f-129b-4022-909b-74fa857258a7,9982770f-129b-4022-909b-74fa857258a7"
"analytics","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,545862a0-d9bd-4007-aac8-3cf618c7815b,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4"
"digital fluency","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,e8f63296-59d9-426e-8e05-3bd0a68a43d2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f"
"training","82ae48b4-fe59-4dc8-b36f-fdbf775e3dcf,a601f184-fbf5-47c9-a93b-0e7d92573478,527cf620-dbef-4f20-b41b-a74bfe62b3d5,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f"
"lean methodologies","e8f63296-59d9-426e-8e05-3bd0a68a43d2,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,2543224d-b378-43c9-9f6f-ab8850b6c051,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,e8f63296-59d9-426e-8e05-3bd0a68a43d2"
"continuous improvement","e8f63296-59d9-426e-8e05-3bd0a68a43d2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,a601f184-fbf5-47c9-a93b-0e7d92573478,2d365c52-d15d-4c9c-bc75-156a960f8bf2,9982770f-129b-4022-909b-74fa857258a7"
"operations support","e8f63296-59d9-426e-8e05-3bd0a68a43d2,545862a0-d9bd-4007-aac8-3cf618c7815b,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850,281662c0-0d72-437b-98f3-c904a3241259,545862a0-d9bd-4007-aac8-3cf618c7815b"
"safety compliance","e8f63296-59d9-426e-8e05-3bd0a68a43d2,a601f184-fbf5-47c9-a93b-0e7d92573478,2d365c52-d15d-4c9c-bc75-156a960f8bf2,545862a0-d9bd-4007-aac8-3cf618c7815b,b00cb8b0-fb0f-447c-b95b-9cc198e861b0"
"pharmaceutical manufacturing","e8f63296-59d9-426e-8e05-3bd0a68a43d2,2d365c52-d15d-4c9c-bc75-156a960f8bf2,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,00fc95ad-51ba-4199-a67a-92978a72580e,eb83e95f-5fdc-4c86-adc0-cb2d968efe5e"
"business improvement","e8f63296-59d9-426e-8e05-3bd0a68a43d2,b00cb8b0-fb0f-447c-b95b-9cc198e861b0,a601f184-fbf5-47c9-a93b-0e7d92573478,3e93676a-fa95-46e2-8aab-962d42c64cdb,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4"
"site strategy","e8f63296-59d9-426e-8e05-3bd0a68a43d2,545862a0-d9bd-4007-aac8-3cf618c7815b,0a8f571b-c686-4965-a573-cabf249435e6,545862a0-d9bd-4007-aac8-3cf618c7815b,545862a0-d9bd-4007-aac8-3cf618c7815b"
"data analysis and management","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,b00cb8b0-fb0f-447c-b95b-9cc198e861b0,00fc95ad-51ba-4199-a67a-92978a72580e,545862a0-d9bd-4007-aac8-3cf618c7815b,9982770f-129b-4022-909b-74fa857258a7"
"smart manufacturing analytics","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4"
"digital solutions development","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,2d365c52-d15d-4c9c-bc75-156a960f8bf2,545862a0-d9bd-4007-aac8-3cf618c7815b,545862a0-d9bd-4007-aac8-3cf618c7815b"
"computer science","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,3e93676a-fa95-46e2-8aab-962d42c64cdb,9982770f-129b-4022-909b-74fa857258a7"
"digital and technology","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,2d365c52-d15d-4c9c-bc75-156a960f8bf2,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4"
"digital objectives","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,9982770f-129b-4022-909b-74fa857258a7,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4"
"upskilling","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,2543224d-b378-43c9-9f6f-ab8850b6c051,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,94546a24-8ef0-4d17-b854-e85ea8ac53b3"
"influencing","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,2543224d-b378-43c9-9f6f-ab8850b6c051,53da82e3-bf1c-4e3f-8c77-b07f78376b32"
"adopting new technology","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,a601f184-fbf5-47c9-a93b-0e7d92573478,a601f184-fbf5-47c9-a93b-0e7d92573478"
"technology identification","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,a601f184-fbf5-47c9-a93b-0e7d92573478,545862a0-d9bd-4007-aac8-3cf618c7815b,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"powerbi","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,545862a0-d9bd-4007-aac8-3cf618c7815b,eb83e95f-5fdc-4c86-adc0-cb2d968efe5e,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4"
"machine learning algorithms","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,2d365c52-d15d-4c9c-bc75-156a960f8bf2,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"digital data analytics","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"six sigma tools","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,eb83e95f-5fdc-4c86-adc0-cb2d968efe5e,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,eb83e95f-5fdc-4c86-adc0-cb2d968efe5e"
"data culture","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"improvement frameworks","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"gsk production system","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,2d365c52-d15d-4c9c-bc75-156a960f8bf2,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"production planning","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,545862a0-d9bd-4007-aac8-3cf618c7815b,281662c0-0d72-437b-98f3-c904a3241259"
"ai","d4e3c6ea-8469-4b7e-bf69-2166b0794ec4,2d365c52-d15d-4c9c-bc75-156a960f8bf2,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"organisational skills","281662c0-0d72-437b-98f3-c904a3241259,545862a0-d9bd-4007-aac8-3cf618c7815b,2d365c52-d15d-4c9c-bc75-156a960f8bf2"
"financial skills","281662c0-0d72-437b-98f3-c904a3241259,281662c0-0d72-437b-98f3-c904a3241259,281662c0-0d72-437b-98f3-c904a3241259,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850,545862a0-d9bd-4007-aac8-3cf618c7815b"
"television production management","281662c0-0d72-437b-98f3-c904a3241259,281662c0-0d72-437b-98f3-c904a3241259,281662c0-0d72-437b-98f3-c904a3241259,00fc95ad-51ba-4199-a67a-92978a72580e"
"finance related tasks","281662c0-0d72-437b-98f3-c904a3241259,281662c0-0d72-437b-98f3-c904a3241259,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,545862a0-d9bd-4007-aac8-3cf618c7815b"
"production accounting","281662c0-0d72-437b-98f3-c904a3241259,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,545862a0-d9bd-4007-aac8-3cf618c7815b"
"delivery processes","281662c0-0d72-437b-98f3-c904a3241259,53da82e3-bf1c-4e3f-8c77-b07f78376b32,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f"
"office administration","281662c0-0d72-437b-98f3-c904a3241259,a601f184-fbf5-47c9-a93b-0e7d92573478"
"microsoft office","281662c0-0d72-437b-98f3-c904a3241259,eb83e95f-5fdc-4c86-adc0-cb2d968efe5e,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850,281662c0-0d72-437b-98f3-c904a3241259"
"outlook","281662c0-0d72-437b-98f3-c904a3241259,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850"
"word","281662c0-0d72-437b-98f3-c904a3241259,94546a24-8ef0-4d17-b854-e85ea8ac53b3,53da82e3-bf1c-4e3f-8c77-b07f78376b32"
"media","281662c0-0d72-437b-98f3-c904a3241259,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850"
"proactive","281662c0-0d72-437b-98f3-c904a3241259,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478,281662c0-0d72-437b-98f3-c904a3241259"
"enthusiastic","281662c0-0d72-437b-98f3-c904a3241259,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850,0a8f571b-c686-4965-a573-cabf249435e6"
"autonomous work","281662c0-0d72-437b-98f3-c904a3241259,3e93676a-fa95-46e2-8aab-962d42c64cdb,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,527cf620-dbef-4f20-b41b-a74bfe62b3d5,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850"
"deadline management","281662c0-0d72-437b-98f3-c904a3241259,53da82e3-bf1c-4e3f-8c77-b07f78376b32,545862a0-d9bd-4007-aac8-3cf618c7815b,545862a0-d9bd-4007-aac8-3cf618c7815b"
"attention to detail","281662c0-0d72-437b-98f3-c904a3241259,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"prioritisation","281662c0-0d72-437b-98f3-c904a3241259,53da82e3-bf1c-4e3f-8c77-b07f78376b32,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,3e93676a-fa95-46e2-8aab-962d42c64cdb"
"workload management","281662c0-0d72-437b-98f3-c904a3241259,527cf620-dbef-4f20-b41b-a74bfe62b3d5"
"excellent communication","281662c0-0d72-437b-98f3-c904a3241259,3e93676a-fa95-46e2-8aab-962d42c64cdb,281662c0-0d72-437b-98f3-c904a3241259,53da82e3-bf1c-4e3f-8c77-b07f78376b32,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850"
"written communication","281662c0-0d72-437b-98f3-c904a3241259,53da82e3-bf1c-4e3f-8c77-b07f78376b32"
"interpersonal skills","281662c0-0d72-437b-98f3-c904a3241259,53da82e3-bf1c-4e3f-8c77-b07f78376b32,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850,0a8f571b-c686-4965-a573-cabf249435e6,527cf620-dbef-4f20-b41b-a74bfe62b3d5"
"confidence in communication","281662c0-0d72-437b-98f3-c904a3241259,b00cb8b0-fb0f-447c-b95b-9cc198e861b0,3e93676a-fa95-46e2-8aab-962d42c64cdb,527cf620-dbef-4f20-b41b-a74bfe62b3d5"
"communication with senior management","281662c0-0d72-437b-98f3-c904a3241259,545862a0-d9bd-4007-aac8-3cf618c7815b"
"stakeholder engagement","53da82e3-bf1c-4e3f-8c77-b07f78376b32,94546a24-8ef0-4d17-b854-e85ea8ac53b3,0a8f571b-c686-4965-a573-cabf249435e6,b00cb8b0-fb0f-447c-b95b-9cc198e861b0,c2fda700-9d2e-4d6e-81a0-c95addc8dff2"
"project reporting","53da82e3-bf1c-4e3f-8c77-b07f78376b32,ea7e4ada-b4cc-42ba-8287-9db0d7a4f55f,a601f184-fbf5-47c9-a93b-0e7d92573478,c2fda700-9d2e-4d6e-81a0-c95addc8dff2,9982770f-129b-4022-909b-74fa857258a7"
"project management lifecycle","53da82e3-bf1c-4e3f-8c77-b07f78376b32,545862a0-d9bd-4007-aac8-3cf618c7815b"
"teamwork","53da82e3-bf1c-4e3f-8c77-b07f78376b32,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850"
"planning","53da82e3-bf1c-4e3f-8c77-b07f78376b32,a601f184-fbf5-47c9-a93b-0e7d92573478,545862a0-d9bd-4007-aac8-3cf618c7815b,2d365c52-d15d-4c9c-bc75-156a960f8bf2"
"flexibility","53da82e3-bf1c-4e3f-8c77-b07f78376b32,9982770f-129b-4022-909b-74fa857258a7,74b8d8b1-68ee-4dcc-a78a-8ed0fd80d850"
"data pipeline design","3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb,3e93676a-fa95-46e2-8aab-962d42c64cdb,2d365c52-d15d-4c9c-bc75-156a960f8bf2"
