skill_name,references
"attention to detail",6
"prioritisation",1
"workload management",6
"excellent communication",3
"written communication",6
"verbal communication",6
"interpersonal skills",6
"confidence in communication",4
"communication with senior management",3
"stakeholder engagement",6
"project reporting",1
"task creation",3
"leadership",6
"project management lifecycle",3
"teamwork",6
"planning",6
"flexibility",6
"data engineering",3
"data pipeline design",1
"database management",6
"scientific research",5
"user story development",5
"cloud native enterprise data platforms",1
"scientific data solutions",1
"early discovery activities",1
"nextflow",2
"gcp",5
"data flow automation",1
"postgresql",2
"bigquery",2
"dashboard creation",5
"scientific communication",5
"tool development",5
"user requirements analysis",2
"communication skills",6
"cheminformatics",2
"pharmacy",5
"maths",3
"computational techniques",3
"small molecule medicines",3
"modern models",1
"generative models",1
"drug design",1
"2d modelling",1
"3d modelling",1
"quantum mechanics",2
"molecular simulation",2
"explainable ai",2
"uncertainty estimation",2
"transfer learning",2
"generative design",3
"automated design platform",1
"bioactivity",1
"physical chemistry properties",2
"dmpk",1
"toxicology",6
"data evaluation",5
"method implementation",1
"laboratory automation",1
"automation systems design",4
"robotics",1
"deployment of automation systems",1
"complex scientific use cases",1
"automation solutions",5
"scientific workflows",1
"data flows",1
"data quality",6
"throughput",1
"capabilities improvement",1
"automation workflows",1
"data flow management",3
"research activities support",1
"cross-functional teamwork",6
"automation",6
"scientific initiatives",1
"prioritization",6
"risk management",6
"budget management",6
"agile development",3
"cultural awareness",6
"software development processes",3
"film campaigns",3
"publicity",5
"innovation",6
"industry knowledge",6
"team coordination",6
"administration support",5
"brainstorming",5
"research",6
"social media scraping",3
"creating presentations",5
"collecting industry news",3
"digital innovations",5
"purchase order management",6
"cost recording",3
"billing queries",3
"event planning",6
"logistics management",6
"press screening management",3
"report compilation",1
"360° film marketing campaigns",3
"marketing",6
"sales",6
"it skills",6
"powerpoint",1
"independence",6
"work ethic",6
"confidence in fast-paced environments",3
"social media knowledge",1
"content creation feedback",1
"entertainment media awareness",1
"film industry knowledge",1
"enthusiasm",6
"positivity",5
"proactivity",6
"business analysis",6
"information sciences",2
"data sciences",1
"physics",6
"predictive modeling",2
"computational sciences",1
"scientific discovery",3
"computational methods",2
"benchmarking",6
"modern technologies",1
"cloud",1
"aiml",3
"decision-making",6
"medicine discovery",1
"target discovery",1
"cloud platforms",2
"best practice coding standards",1
"data processing",6
"scientific data integration",2
"assay",1
"algorithm comparison",2
"scientific data engineering",1
"interacting with laboratory scientists",1
"interacting with computational scientists",1
"understanding scientific context",1
"technical skills",6
"human factors engineering",3
"computer aided engineering",2
"finite element analysis (fea)",5
"computational fluid dynamics (cfd)",2
"multiphysics modelling",2
"manufacturing process development",2
"device project management",2
"project planning",1
"capital project execution",1
"site expansion",1
"facility upgrades",1
"equipment installation",4
"scheduling",6
"budgeting",6
"resource planning",5
"feasibility studies",5
"project delivery",6
"site inspections",1
"safety audits",3
"quality control",6
"status updates",1
"technical documentation",5
"vsd installation",1
"motor design",1
"11kv network switching",2
"substation design",2
"switchgear installation",1
"fire alarm systems",2
"british standards compliance",2
"safety critical services",1
"engineering technologies",5
"plant maintenance techniques",2
"maintenance best practices",5
"electrical installations",2
"remedial works",2
"improvement works",2
"root cause analysis",6
"meta-analysis",3
"safety risk assessments",5
"quality risk assessments",5
"continuous improvement activities",1
"good manufacturing practice",5
"testing",6
"preventive maintenance",4
"corrective maintenance",2
"commissioning",5
"medium voltage switchgear",4
"design of distribution systems",2
"installation of distribution systems",2
"delivery of distribution systems",2
"11 kv distribution system",2
"gsk digital assessment",5
"virtual assessment centre",6
"virtual interview",6
"written and spoken fluency in english",6
"liquid handler scripting languages",2
"system schedulers",2
"technical requirements analysis",2
"vendor integration",1
"process optimization",6
"technical solutions",5
"workflow improvement",1
"workflow analysis",1
"requirements gathering",5
"user needs assessment",1
"scientific user perspective",1
"process mapping",5
"workflow visualization",1
"optimization techniques",3
"technical implementation",1
"acceptance criteria definition",2
"user testing facilitation",2
"data annotation",1
"fair principles",2
"data accessibility",1
"data interoperability",1
"data reusability",1
"data integrity",5
"controlled vocabularies",2
"ontologies",2
"data integration",3
"data standards",4
"technical collaboration",1
"compliance requirements",3
"waste management initiatives",1
"data collection",6
"reporting",6
"data interpretation",6
"data reporting",5
"ehs documentation",2
"procedure development",2
"checklist creation",1
"safety data management",1
"ehs awareness campaigns",2
"training materials development",2
"ehs (environmental, health, and safety) project management",1
"implementation",5
"engineering activities",2
"ergonomics",4
"manual handling",2
"noise management",2
"coshh",3
"high-risk activities",2
"organising site meetings",2
"understanding site safety requirements",2
"implementing safety standards",2
"contractor communication",1
"staff communication",1
"safety concern management",1
"machinery safety",3
"contractor safety improvement",2
"ehs training methods",2
"health, safety, and environmental laws",2
"regulations",5
"new technologies",3
"ehs data analysis",2
"environmental impact assessment",5
"performance improvement",6
"minimizing negative effects",1
"procedures analysis",1
"standards improvement",1
"preventative measures implementation",2
"training program delivery",1
"emergency response planning",2
"workplace emergency response",2
"industrial hygiene",4
"process safety",4
"workplace transport",2
"occupational health",5
"emergency response",3
"compliance",6
"environmental impact reduction",3
"safety culture promotion",2
"incident investigation",2
"sustainability initiatives",5
"environmental health and safety (ehs) inspections",2
"ehs audits",2
"compliance with internal standards",1
"legal requirements knowledge",1
"hazard identification",3
"workplace safety",1
"control measures implementation",1
"structured approaches to incident investigation",1
"regulatory awareness",2
"environmental legislation",5
"health & safety legislation",4
"quality assurance",6
"protocol development",4
"report writing",6
"country selection",3
"diversity",5
"patient identification",3
"engagement strategy",5
"recruitment plan",2
"digital platforms",6
"digital tools",6
"vendor management",6
"assessment skills",1
"selection skills",1
"engagement skills",3
"good pharmacovigilance practices (gvp)",3
"good epidemiological practices (gep)",3
"cioms guidelines",3
"ich guidelines",2
"gcp guidelines",2
"regulatory knowledge",5
"health economics",5
"health outcomes",3
"patient centred outcomes",3
"patient insights",3
"digital biomarkers",3
"epidemiology",4
"planisware",3
"evidence generation strategy",2
"timeline management",3
"activity planning",3
"data preparation",2
"team collaboration",6
"change management",6
"strategy",5
"operational oversight",3
"clinical study materials preparation",2
"study protocols",1
"procedures manuals",1
"informed consent forms",1
"collaboration with clinical operations",1
"collaboration with clinical sciences",1
"collaboration with project management",2
"collaboration with safety",1
"collaboration with regulatory",1
"collaboration with medical affairs",1
"reviewing study data",1
"scientific literature review",1
"quality assurance initiatives",1
"electronic trial master file (etmf)",3
"documentation management",5
"regulatory submissions support",1
"patient safety",2
"ethical trial conduct",2
"cost-effective supply solutions",2
"chemical agents",2
"biological agents",2
"waste management",5
"risk mitigation strategies",5
"safety program development",1
"ehs performance data analysis",2
"trend identification",5
"strengths analysis",1
"areas for improvement analysis",1
"ehs technology usage",1
"environmental sustainability",3
"execution",5
"evaluation",6
"clinical studies design",4
"execution of clinical trials",3
"reporting of clinical studies",3
"primary data collection",3
"prospective studies",3
"de novo registries",3
"discrete choice experiments",3
"creation of new datasets",3
"secondary data analysis",3
"emrs",2
"chart abstraction",2
"patient reported outcomes development",3
"patient reported outcomes validation",1
"comparative studies",2
"descriptive studies",3
"retrospective studies",3
"burden of illness studies",3
"drug utilisation studies",3
"prevalence studies",3
"incidence studies",3
"risk factor analysis",3
"outcome analysis",2
"economic modelling",3
"clinical trial analysis",4
"interventional clinical trials",2
"mechanical engineering",6
"electrical engineering",6
"building services engineering",3
"automation engineering",4
"digital technology",5
"capital projects management",1
"biopharmaceuticals production",2
"regulatory compliance",6
"business system support",3
"digital systems",2
"cyber security",6
"platform upgrades",2
"machine integration",3
"cloud data analytics",3
"plcs",1
"hmis",2
"distributed control system (dcs)",3
"supervisory control and data acquisition (scada)",4
"opc communication systems",3
"manufacturing execution systems (mes)",3
"facilities engineering",3
"installation projects",3
"calibration",5
"environmental projects",3
"sustainability",6
"cross-functional collaboration",6
"supply strategy development",2
"operational efficiency optimization",2
"ich",2
"cgmp",3
"gdp",3
"supply strategy execution",3
"product supply strategies",2
"therapy compliance",1
"task prioritisation",6
"accuracy",5
"supporting operations",2
"supply chain initiatives",2
"trend analysis",6
"stakeholder communication",6
"real-time communication",2
"digital tools management",3
"internal team interaction",2
"external vendor interaction",2
"matrix function collaboration",2
"audit readiness",2
"regulatory requirements",6
"documentation archiving",2
"forecasting",6
"invoice tracking",3
"finance-related issue resolution",3
"quantitative analysis",3
"statistical advice",2
"experimental design",6
"clinical trial design",4
"statistical analysis",6
"interpretation of results",2
"quantitative support",2
"translational medicine practice",2
"chemistry, manufacturing and controls (cmc)",4
"product transition",2
"global supply chain",2
"statistical innovation",1
"sample size determination",2
"randomisation scheme",2
"consultation with statisticians",2
"problem translation",1
"statistical support",2
"clinical research",5
"biomarkers",2
"statistical methods",6
"statistical programming",2
"stan",2
"prediction modeling",2
"coding experience",4
"visual presentations",2
"shiny",1
"statistical methodology",2
"programming workflows",2
"advanced statistical topics",2
"quantitative decision making",2
"bayesian dynamic borrowing",2
"dose response modelling",2
"therapeutic areas",2
"clinical programming",2
"business excellence",3
"programming",6
"validation of datasets",2
"analysis of clinical trial data",1
"reporting of clinical trial data",2
"data accuracy",5
"specialist engineering software",3
"system design",6
"inspection",5
"reliability engineering",5
"engineering practice",1
"leadership skills",6
"management skills",1
"business development",5
"product introduction",2
"customer engagement",6
"customer satisfaction",5
"sales margin analysis",1
"customer demand management",1
"pricing strategy",4
"stakeholder management",6
"customer relationship management",6
"forecast management",1
"organizational skills",6
"planning skills",1
"customer service skills",1
"desire to learn about cummins off highway products",1
"enthusiasm to learn",1
"diversity and inclusion awareness",6
"lean tools",5
"six sigma methodologies",2
"key performance indicators (kpi)",5
"creo",5
"cad",6
"self-motivation",6
"microsoft applications",4
"minitab",5
"manufacturing engineering",6
"controls engineering",5
"biostatistics",2
"science/technology related discipline",2
"medical device design",2
"medical device engineering",2
"product design",6
"industrial design",4
"design engineering",5
"innovation design",3
"sustainable design",3
"environmental design",2
"materials science",6
"packaging technology",4
"healthcare focus",2
"inclusive design",4
"accessibility",3
"usability",4
"sustainability objectives",2
"innovative packaging design",2
"device development",2
"industry-standard tools",2
"methodologies",5
"life-changing therapies",2
"dataset development",1
"table creation",1
"listing generation",1
"figure creation",1
"clinical trial reporting",2
"sas",6
"r programming",5
"discrepancy resolution",1
"documentation preparation",5
"dataset specifications",2
"reviewer guides",2
"business partnership",3
"relationship building",6
"drive",6
"confidence",6
"judgement",2
"sensitivity to diversity",2
"international environment understanding",2
"governance",6
"strategic planning",6
"business process improvement",5
"operational effectiveness",2
"audit preparation",2
"policy adherence",3
"lab-based prototyping",2
"peer review",2
"work plan management",2
"business alignment",3
"analytical mindset",6
"prototyping",5
"inquisitive mindset",5
"transformative environment",5
"inclusion",6
"partnership",1
"dynamic team collaboration",5
"innovative research",5
"exploration of new frontiers",5
"positive social interactions",5
"supportive work environment",6
"employee engagement",1
"learning and development",6
"skill development",6
"experience development",5
"cross functional teamwork",6
"pharmacology",5
"research & development",6
"in vitro toxicology",2
"product assessment",3
"product development",6
"regulatory frameworks",5
"scientific testing approaches",2
"testing methodologies",5
"evaluation techniques",3
"product pipeline support",2
"climate impact reduction",2
"sustainable medical devices",2
"packaging",3
"circular design principles",2
"eco-innovation strategies",2
"environmental considerations",2
"user-centred design",2
"product lifecycle management",5
"sustainability metrics",2
"design concept development",2
"stakeholder workshops",2
"sustainable concepts",2
"technical reporting",5
"healthcare operations",2
"team leadership",6
"initiative delivery",2
"project leadership",6
"tactical implementation",2
"professional learning",2
"personal learning",2
"corporate materials",2
"writing",6
"coordination",6
"internal digital newsletter",2
"campaign management",6
"corporate policy knowledge",2
"therapy policy knowledge",2
"creative communication",2
"engaging communications materials",4
"av studio",2
"event briefings",2
"content development",6
"social media management",6
"website content creation",3
"uk healthcare environment",1
"content creation",6
"respectful challenge",5
"collective problem-solving",1
"digital communication",5
"event management",6
"website management",5
"email marketing",5
"training on new technologies",2
"digital accessibility",2
"virtual events",2
"digital marketing fundamentals",2
"social media marketing",6
"pharmaceutical campaigns",2
"platform adoption",2
"platform usage",2
"deployment of new capabilities",2
"support",6
"medical teams",2
"uk regulations",2
"pharmaceutical regulation",2
"hazard screening methodologies",1
"computational toxicology",1
"modeling of smoking-related diseases",1
"human biology",5
"psychology",6
"neuroscience",5
"sensorial science",6
"onboarding",6
"critical thinking",6
"scientific poster presentations",5
"transferable skills",5
"technical discipline",5
"independent thinking",6
"experiment design",5
"lab-based research",4
"troubleshooting",6
"aseptic techniques",3
"aerosol exposure",1
"cell culture skills",1
"scientific curiosity",5
"collaborative attitude",5
"artificial intelligence",6
"process development",5
"creative solution design",1
"training and development",6
"process enhancement",4
"performance analysis",6
"product vigilance",1
"post market safety requirements",1
"pharmacovigilance",2
"data statistics & analysis",1
"public health",3
"public health interest",1
"safety regulation",1
"creativity",6
"curiosity",6
"future thinking",1
"adaptability",6
"emerging digital technologies",2
"website development",5
"omnichannel marketing",2
"respectful communication",1
"collaborative problem-solving",1
"ai technologies",4
"agile methodology",6
"diversity and inclusion",6
"business application development",4
"mobile app development",3
"technical expertise",6
"system integration",4
"system maintenance",4
"mentorship",6
"data risk management",2
"security protocols",2
"system development lifecycle",3
"system enhancement",2
"system support",2
"application development",4
"computer skills",4
"opinion voicing",2
"healthy debate",2
"idea improvement",2
"decision making",1
"outcome achievement",2
"analytical problem solving",5
"data entry",6
"document management",6
"management process",5
"manufacturing compliance",2
"office applications",5
"problem solving therapy",1
"process improvements",6
"project management system",2
"recruiting processes",4
"reporting and analysis",5
"technical support",6
"technical training",6
"workload prioritization",5
"regulatory submission creation",2
"registration tracking",2
"regulatory operations",1
"knowledge of emea regulations",2
"operational management",6
"submission planning",2
"execution of regulatory changes",2
"marketing application management",1
"regulatory landscape",2
"registration procedures",2
"technical requirements for dossiers",2
"submission assembly",2
"publishing process",2
"timeliness",2
"archival processes",2
"efficiency analysis",3
"project participation",2
"knowledge of regional regulatory procedures",2
"understanding of internal guidelines",2
"understanding of external standards",2
"regulatory information management systems",2
"regulatory submissions",4
"product registrations",1
"life-cycle management",1
"regulatory strategies",1
"dossier assessment",1
"global collaboration",3
"submission package review",1
"health authority interactions",1
"operational excellence",5
"regulatory science best practices",1
"regulatory policy",1
"health authority engagement",1
"scientific discipline knowledge",1
"chemical engineering",6
"microbiology",5
"virology",1
"storytelling",1
"report delivery",1
"storytelling with data",1
"sql",6
"snowflake",1
"data governance framework",1
"dataset management",2
"asset risk management",3
"technical skills development",5
"professional skills development",4
"strategic decision making",5
"goal setting",5
"customer service",6
"mentoring",6
"learning sessions",4
"personal development",6
"confidence building",5
"impact assessment",5
"eagerness to learn",6
"open-mindedness",5
"motivation",6
"data skills",1
"tableau",6
"learning new tools and techniques",1
"commercial awareness",6
"practical experience",6
"data tools",2
"data governance",5
"business insight",3
"assessment",4
"disability awareness",5
"candidate evaluation",2
"workshop coordination",1
"insight gathering",2
"task ownership",1
"proactive attitude",6
"professional development",6
"microsoft excel",6
"data proficiency",1
"adjusting",3
"problem-solving skills",1
"microsoft azure active directory",1
"microsoft intune",1
"microsoft configuration manager",1
"jamf pro",1
"virtualisation platforms",1
"mobile device management tools",1
"technical problem solving",5
"troubleshooting skills",1
"inventory management",6
"it-related knowledge",1
"interest in enterprise it environments",1
"interest in modern device management",1
"qlik sense",5
"metrics maintenance",1
"automation of data processes",1
"data auditing",3
"data quality assurance",4
"data simplification",1
"market trends analysis",3
"best practices identification",3
"data improvement",1
"data processes",1
"efficient tools",1
"data operational effectiveness",1
"ability to work under pressure",6
"logical thinking",1
"assistance",2
"self-starter attitude",1
"ms office",6
"compliance improvement",3
"new product introduction (npi)",5
"manufacturing processes",6
"continuous improvement (ci)",4
"manufacturing investigations",4
"good manufacturing practice (gmp)",5
"monitoring performance",2
"manufacturing, science and technology (msat)",1
"product life cycle management",5
"regulatory filing",2
"site audit activities",2
"cleaning validation",2
"deviation investigations",3
"manufacturing trials",2
"technical writing",5
"performance monitoring",5
"opportunity identification",6
"digital data and analytics tools",2
"simplification",1
"strategic project delivery",1
"process validation",3
"contamination control",2
"trending",1
"manufacturing process support",3
"investigations",6
"product control strategy",1
"manufacturing science",1
"quality systems",6
"pharmaceutical industry knowledge",4
"investigation",5
"data-driven decision making",5
"articulation of benefits",1
"business drivers",1
"product control",1
"critical quality attributes",1
"contribution",1
"growth mindset",5
"competitive intelligence gathering",1
"knowledge sharing",6
"laboratory work",2
"road mapping",1
"scientific mindset",1
"business mindset",1
"chemistry practices",1
"bioprocesses",1
"production of large molecules",1
"mabs",1
"key performance indicators (kpis)",5
"production time reduction",1
"cost management",6
"research and development (r&d) alignment",1
"aha!",1
"video recording",2
"scientific outreach",1
"teams",1
"user experience (ux) design",1
"interaction design",2
"graphic design",5
"communication design",1
"visualisation tools",3
"disease area insights",1
"patient journeys",1
"patient personas",1
"digital design",5
"online design solutions",1
"clarity",3
"empathy",5
"patient-facing content",1
"visual storytelling",2
"inclusive design thinking",2
"user research",5
"empathetic design insights",2
"monitoring",6
"evaluating",1
"design outputs",1
"feedback analysis",4
"iterative design",1
"improving communication materials",1
"user experience design",3
"design activities",2
"workshops",5
"co-creation sessions",2
"validation of materials",1
"visual design",5
"digital channels",1
"innovation management",4
"tactical marketing",1
"customer insights",4
"data enablement",1
"analytical tools",5
"predictive analytics",5
"infographic creation",1
"newsletter creation",5
"user acceptance testing",2
"compliance audits",3
"scrum master",1
"agile practices",2
"analytical ability",1
"chemotherapy",1
"compliance assurance",1
"digital marketing",6
"hematopoietic stem cell transplantation",1
"immunotherapy",1
"information communication technology (ict)",1
"interventional oncology",1
"oncology",1
"uk governance frameworks",1
"privacy management",2
"sop management",2
"process assurance",2
"compliance with abpi code of practice",1
"foundational training capabilities",1
"corporate world understanding",1
"patient-focused project management",2
"innovative technology adoption",2
"process simplification",1
"copilot",1
"privacy alignment",2
"training program management",2
"numeric skills",3
"privacy",2
"understanding commercial success",1
"insight generation",5
"impact measurement",2
"financial forecasting",2
"metric setting",1
"market research",6
"commercial strategies",1
"actionable recommendations",1
"portfolio prioritisation",1
"sales force incentive programme (sfip) design",1
"actionable insights generation",1
"risk identification",3
"marketing strategy optimization",1
"customer engagement strategy optimization",1
"performance measurement",6
"strategic project management",1
"commercial acumen",6
"business objectives support",1
"business",6
"stem disciplines",3
"numerical skills",6
"microsoft powerpoint",1
"eager to learn",4
"problem solving",1
"exploring new approaches",1
"field visits",2
"running studies",1
"advisory boards",1
"medical education projects",1
"patient access programs",1
"administrative support",6
"conference summary reporting",1
"audio-visual suite expertise",1
"media site development",1
"media site maintenance",1
"digital media",5
"social media",6
"communications management",1
"oral communication",6
"trust building",5
"willingness to learn",6
"microsoft word",6
"comprehension of complex scientific literature",1
"clinical trial coordination",1
"office-based support",1
"program management",5
"clinical trials",2
"study team support",1
"knowledge development",4
"practical skills development",3
"clinical management systems",1
"clinical processes",1
"ethics submissions",1
"event participation",2
"pharmaceutical sciences",1
"integrity",6
"transparency",5
"accountability",6
"understanding of clinical research",1
"understanding of clinical trial conduct",1
"cultural diversity",1
"inclusivity",6
"academic curiosity",1
"feedback",6
"biopharmaceuticals",4
"biopharmaceutics",1
"business integrity",1
"clinical testing",1
"life science",5
"site initiation",1
"business reporting",5
"reliability",6
"automation tools",2
"analytical thinking",6
"team representation",1
"process automation",2
"learning new things",1
"real-world problem solving",1
"management information (mi)",1
"technical degree",1
"assessing candidates",2
"supporting candidates with disabilities",2
"active participation",1
"software development",6
"software engineering",6
"quality engineering",6
"ux design",5
"product specialization",1
"product ownership",1
"scrum",1
"creative collaboration",1
"enthusiasm for learning",5
"personal growth",4
"contributing unique perspectives",1
"exploring new technologies",1
"personal projects",1
"learning technical skills",1
"learning non-technical skills",1
"finance systems",2
"it automation",1
"travel",5
"manufacturing operations",4
"system upgrade improvements",1
"it automation systems",1
"servicenow",5
"jira",1
"standard operating procedures (sops)",4
"cybersecurity",6
"good manufacturing practices",5
"lab practices",1
"training development",5
"human machine interfaces (hmis)",1
"network infrastructure",1
"translating it solutions",1
"business systems",5
"cybersecurity risk management",1
"financial analysis",6
"information technology operations",1
"network infrastructures",1
"security compliance",1
"sales management",2
"commercial planning",2
"accruals management",2
"business process development",3
"cost control",4
"financial administration",4
"process adherence",4
"multitasking",6
"accruals",1
"working under pressure",6
"meeting strict deadlines",3
"pivot table",1
"v-look up",1
"educational sessions",1
"consultations",1
"development of scalable tools",1
"front-line response",1
"guidance",6
"presentation preparation",5
"creative thinking",6
"project coordination",5
"brand management",6
"campaign development",6
"international business",1
"creative skills",5
"brand strategy",5
"hilton university",1
"growth",6
"fluency in english",6
"collaboration skills",1
"teamwork skills",5
"project management skills",1
"interest in hospitality",1
"data visualisation tools",5
"sharepoint",6
"canva",3
"website merchandising",2
"search platform optimization",2
"consumer data retrieval",1
"end-to-end delivery",1
"marketing information collection",1
"asset distribution",2
"task management",6
"customer journey development",3
"digital customer journey improvement",1
"lead management systems",1
"customer research",1
"customer retention strategies",1
"customer loyalty enhancement",1
"system development",1
"customer experience enhancement",4
"digital portal management",1
"customer communication",5
"chatbot maintenance",1
"customer experience improvement",3
"regular updates",1
"customer feedback analysis",5
"thematic analysis",1
"remedial action identification",1
"customer interaction management",1
"contract lifecycle understanding",1
"research skills",6
"engaging presentation creation",1
"customer experience",5
"colleague experience",1
"operational results",1
"chatbot experience improvement",1
"workload scheduling",1
"training and mentoring",1
"literacy",4
"independent work",6
"efficiency improvement",6
"oversight",2
"customer outcome analysis",1
"delivery",1
"proactive development",1
"input source identification",1
"ownership",6
"timely solution delivery",1
"value addition",2
"business needs assessment",1
"data extraction",4
"business insights",5
"development",5
"responsibility management",4
"business objects",2
"salesforce",5
"respond",1
"cms",2
"proactive thinking",1
"analytical software",5
"deadline adherence",1
"self management",5
"proactive approach",6
"business requirements analysis",3
"it systems understanding",1
"delivery management",6
"subject matter expertise",3
"pricing model development",1
"statistical modeling",3
"impact analysis",1
"report development",3
"profit cube universe",1
"ad hoc reporting",1
"analysis",6
"core calculations",1
"technical issue resolution",4
"financial calculations",1
"workload organization",1
"understanding of business unit interactions",2
"agile project methodology",5
"mathematical skills",3
"data reporting programmes",2
"interest in finance",4
"interest in business analysis",1
"methodical approach to work",1
"disciplined approach to work",1
"inquisitive mind",5
"ownership of tasks",5
"team player",6
"flexible attitude",2
"enthusiastic attitude",1
"controlling management",1
"credit risk reporting",1
"portfolio analysis",1
"key performance indicators (kpi) analysis",5
"data monitoring",4
"data commentary",1
"risk analysis",5
"data investigation",1
"data manipulation",6
"powerpoint presentation",1
"data reconciliation",3
"accounting methods",1
"factoring process",1
"credit risk",2
"data modeling",4
"report analysis",1
"risk reporting and forecasting",1
"financial risk",1
"methodical approach",4
"disciplined approach",1
"responsibility",6
"career development",6
"query management",2
"process optimisation",6
"knowledge of kpis",1
"visual basic",4
"cross-department alignment",1
"tableau development",1
"sales performance analysis",3
"understanding key performance indicators",1
"sales factors analysis",1
"data consistency",1
"standardized reporting",1
"opportunity calculations",1
"kpi analysis",5
"chatter",1
"feedback collation",1
"sales forecasting",2
"data sourcing",1
"report maintenance",1
"sales communication",2
"sales broadcast",1
"microsoft teams",5
"microsoft outlook",6
"salesforce chatter",1
"field team engagement",1
"sales strategy",4
"status tracking",1
"feedback collection",3
"action planning",3
"meeting organization",2
"improvement suggestions",1
"database administration",1
"e-commerce",5
"back-end processes",1
"reporting analytics",1
"activity campaign management",3
"recommendation development",3
"sales support",5
"workflow management",2
"query resolution",5
"timely communication",2
"effective problem-solving",1
"workflow optimization",5
"operational support",5
"status reporting",2
"progress tracking",1
"meeting facilitation",5
"collaboration with subject matter experts",4
"helpdesk support",2
"proactive planning",2
"information presentation",2
"workload assessment",1
"solution focused thinking",2
"adaptability to new systems",1
"spoken communication",1
"data presentation",6
"financial services",3
"automotive industry",4
"mobility industry",1
"business management",6
"economics",6
"business-focused skills",1
"creative problem-solving",6
"structured and organised",1
"planning and prioritising",1
"resilience",6
"accuracy in data handling",1
"engineering solutions",6
"safety",6
"effectiveness",2
"multidisciplinary teamwork",5
"baseline personnel security standard (bpss)",6
"security check (sc) clearance",6
"naval technology",1
"technical engineering",2
"production",6
"support ticket management",1
"customer support",6
"escalation procedures",1
"cross-collaboration",1
"issue resolution",6
"auditing",6
"operations guide creation",1
"content relevancy review",1
"training material development",5
"presentation development",5
"document creation",3
"audience analysis",1
"efficiency optimization",3
"relationship management",6
"commercial strategy",4
"marketing activities",1
"internal training material development",1
"hosting workshops",1
"account management",6
"channel development",2
"project optimization",1
"business case development",5
"demand analysis",2
"connectivity solutions",1
"interdepartmental communication",4
"revenue management",1
"pricing strategies",3
"sales techniques",1
"rate loading",1
"ecommerce",2
"information technology",5
"business review",1
"performance optimization",6
"commercial support",1
"demand generation",1
"market analysis",6
"property performance optimization",1
"channel management",3
"marketing plans",2
"promotional activity",2
"reconciliation review",2
"operational performance improvement",4
"engagement with corporate functions",1
"reconciliation",1
"database updates",1
"inquiry-related duties",1
"business partner management",1
"end-to-end reconciliation process",1
"quality control checks",1
"cross-training",1
"business review creation",2
